ID,REQ_VERSION,TITLE,DESCRIPTION,CREATION_DATE,MODIFICATION_DATE,PACKAGE,STATUS,TYPE,STRENGTH,FEATURE,ANNOTATION,ANNOTATION_AUTHOR,ANNOTATION_AUDIENCE,ANNOTATION_DATE,PARENT,RELATED_REQ ,RELATED_REQ ,STAKEHOLDER ,STAKEHOLDER ,STAKEHOLDER ,STAKEHOLDER ,STAKEHOLDER ,STAKEHOLDER ,TAX-target-release
RQ0,1.5,"Secured Logon","The system shall prevent un-authorised access to a user's account.",2006-05-21,2009-12-15T18:11:42,"security.authentication","proposed","functional",shall,true,,,,,, , ,security ,marketing , , , , ,release-1
RQ1,1.8,"Unique Username","The system shall identify users via a unique username.",2006-05-21,2009-12-15T18:14:19,"data","proposed","functional",shall,false,,,,,RQ0, , ,security , ,user , , , ,release-1
RQ2,1.8,"Password","The system shall store passwords against each username.",2006-05-21,2009-12-15T18:12:52,"security.authentication","proposed","functional",shall,false,,,,,RQ0, , ,security , ,user , , , ,release-1
RQ3,1.3,"Authentication","Authentication shall be established based on the correct username and password combination.",2006-05-21,2009-12-15T18:08:18,"security.authentication","proposed","functional",shall,false,,,,,RQ0, , ,security , ,user , , , ,release-1
RQ4,1.1,"Password Structure","The system shall only allow passwords greater than eight characters long being a mixture of alpha-numerics.",2006-05-21,2006-05-23,"security.authentication","proposed","functional",shall,false,,,,,RQ2, , ,security , ,user , , , ,
RQ5,1.2,"Failed Logons","If a logon attempt is unsuccesful the system shall inform the user, however specfic reasons for the failure shall not be communicated as this information can prove useful for malicious authentication attempts.",2006-05-21,2009-12-15T18:13:16,"security.authentication","proposed","functional",shall,false,,,,,RQ3, , ,security , , , , , ,
RQ6,1.1,"SSL Encryption","The system's website should support SSL Encryption to prevent data being sniffed by malicious parties.",2006-05-21,2006-05-23,"security.authentication","proposed","non-functional",should,false,"
            TLS should probably be used in preference to SSL
            - this is still under investigation.
      ","odlingsmee",internal,2006-05-23,, , , , , , , , ,release-1
RQ7,1.3,"Authorisation","The system shall store permissions against each user such that their level of access to the system can be controlled.",2006-05-21,2009-12-15T18:37:28,"security.authorisation","proposed","non-functional",shall,true,,,,,, , ,security , , , , , ,
RQ8,1.0,"Personal Information","The system shall store certain personal information about each user on the system.",2006-05-21,2006-05-21,"data","proposed","functional",shall,false,,,,,, , , ,marketing ,user , , , ,
RQ9,1.0,"First Name","The system shall store a first name against each user.",2006-05-21,2006-05-21,"data","proposed","functional",shall,false,,,,,RQ8, , , , , , , , ,
